iter	Passed	Remaining
419	2479	3424
420	2482	3414
421	2485	3404
422	2488	3394
423	2491	3384
424	2496	3377
425	2498	3367
426	2501	3356
427	2504	3346
428	2507	3336
429	2512	3330
430	2515	3320
431	2532	3329
432	2547	3336
433	2551	3327
434	2553	3316
435	2575	3331
436	2578	3322
437	2582	3314
438	2588	3307
439	2607	3318
440	2615	3315
441	2618	3306
442	2621	3296
443	2624	3287
444	2644	3297
445	2646	3287
446	2650	3278
447	2653	3269
448	2658	3263
449	2663	3255
450	2666	3245
451	2669	3237
452	2676	3231
453	2679	3221
454	2682	3213
455	2689	3208
456	2691	3198
457	2694	3188
458	2697	3179
459	2704	3174
460	2707	3165
461	2709	3155
462	2713	3146
463	2717	3139
464	2721	3130
465	2724	3121
466	2726	3112
467	2729	3103
468	2735	3097
469	2738	3088
470	2741	3079
471	2744	3070
472	2752	3066
473	2755	3057
474	2758	3048
475	2761	3039
476	2767	3034
477	2770	3025
478	2774	3017
479	2777	3008
480	2784	3004
481	2789	2997
482	2792	2989
483	2798	2983
484	2801	2975
485	2805	2966
486	2842	2994
487	2845	2985
488	2847	2975
489	2854	2970
490	2858	2963
491	2862	2955
492	2865	2946
493	2868	2938
494	2871	2929
495	2879	2925
496	2882	2917
497	2886	2909
498	2890	2902
499	2893	2893
500	2896	2885
501	2903	2880
502	2905	2871
503	2908	2862
504	2911	2853
505	2915	2846
506	2918	2838
507	2923	2831
508	2926	2823
509	2930	2815
510	2935	2808
511	2938	2800
512	2942	2793
513	2946	2785
514	2949	2777
515	2952	2769
516	2955	2761
517	2958	2753
518	2965	2748
519	2967	2738
520	2969	2730
521	2972	2721
522	2978	2716
523	2981	2708
524	2984	2700
525	2987	2692
526	2995	2688
527	3012	2692
528	3015	2684
529	3020	2678
530	3051	2694
531	3062	2693
532	3064	2684
533	3066	2675
534	3068	2666
535	3071	2659
536	3074	2650
537	3077	2642
538	3080	2634
539	3084	2627
540	3089	2620
541	3092	2613
542	3109	2617
543	3113	2609
544	3116	2601
545	3123	2597
546	3126	2589
547	3129	2581
548	3135	2576
549	3138	2567
550	3141	2559
551	3144	2551
552	3147	2544
